- Abaigar,"42.648865197139,-2.14111060673"
- Abarzuza,"42.7590420773344,-2.0390474506"
- AbaurregainaoAbaurrea-Alta,"42.9035130037376,-1.1916693707"
- AbaurrepeaoAbaurrea-Baja,"42.9105735247527,-1.2103279331"
- Aberin,"42.620920076301,-1.99285411370"
- Ablitas,"41.969611190603,-1.59313451999"
- Adios,"42.6977879441882,-1.7341707803"
- Aguilar-de-Codes,"42.6116775451359,-2.3834545419"
- AibaroOibar,"42.5933184329677,-1.3536259719"
- Allin,"42.7092899001511,-2.0755890210"
- Allo,"42.5367803046324,-1.9991076680"
- AltsasuoAlsasua,"42.8945794469095,-2.1708297729"
- Amescoa-Baja,"42.7711214179901,-2.1291384719"
- Ancin,"42.6686771234236,-2.1875540636"
- Andosilla,"42.3799556855308,-1.9530450531"
- Anorbe,"42.6354053768738,-1.7281974508"
- Ansoain,"42.8358619752884,-1.6404500022"
- Anue,"42.9789521679909,-1.5836819162"
- AoizoAgoitz,"42.7843894549332,-1.3593305684"
- Araitz,"43.034667435882,-2.00255055519"
- Arakil,"42.9189909746089,-1.8479694827"
- Aranarache,"42.7694345504267,-2.2303894172"
- Aranguren,"42.7788934679763,-1.5772561227"
- Arano,"43.2057511605564,-1.8884467385"
- Arantza,"43.1960211877489,-1.7352888039"
- Aras,"42.5700292538506,-2.3548872086"
- Arbizu,"42.9304194877867,-2.0383797341"
- ArceoArtzi,"42.8857756026425,-1.3522049255"
- Arcos-Los,"42.5471397681794,-2.1821676562"
- Arellano,"42.5848245855443,-2.0562809323"
- Areso,"43.0838003681537,-1.9514415691"
- Arguedas,"42.185082079074,-1.57974634738"
- Aria,"42.9724522394746,-1.2748114480"
- Aribe,"42.9454203127555,-1.2639011517"
- Armananzas,"42.5416120269293,-2.2867217548"
- Arroniz,"42.5585592016718,-2.1056650764"
- Arruazu,"42.9320487812702,-2.0008280098"
- Artajona,"42.588626801462,-1.75114059595"
- Artazu,"42.6875566609944,-1.8365456138"
- Atez,"42.942078463927,-1.70776580042"
- AuritzoBurguete,"42.986040883144,-1.33700593767"
- Ayegui,"42.649332067399,-2.04403445165"
- Azagra,"42.2940878978698,-1.8783145512"
- Azuelo,"42.6086244896344,-2.3501178830"
- Bakaiku,"42.9108613799048,-2.1071851691"
- Baranain,"42.8045076848936,-1.6902183529"
- Barasoain,"42.6110892451553,-1.6727478473"
- Barbarin,"42.5854352639128,-2.1267960686"
- Bargota,"42.5390239844768,-2.3071639634"
- Barillas,"41.9719819846349,-1.6617468734"
- Basaburua,"43.0299672884838,-1.8072405680"
- Baztan,"43.15,-1.55"
- Beintza-Labaien,"43.110529586262,-1.76351281242"
- Beire,"42.4673449012775,-1.5937426535"
- Belascoain,"42.7485861065505,-1.8280927711"
- BeraoVera-de-Bidasoa,"43.2741074733925,-1.6700707282"
- Berbinzana,"42.5176298149103,-1.8400031211"
- Beriain,"42.7321592700396,-1.6408046269"
- Berrioplano,"42.8577136974445,-1.7023900733"
- Berriozar,"42.842952063976,-1.66965530226"
- Bertizarana,"43.1388994971529,-1.6183648277"
- Betelu,"43.0149543901667,-1.9746739248"
- Bidaurreta,"42.7696685823326,-1.8400959315"
- Biurrun-Olcoz,"42.6744321970066,-1.6787306815"
- Bunuel,"41.982609583434,-1.44142888382"
- BurguioBurgi,"42.7378027699947,-0.9989202600"
- BurladaoBurlata,"42.817991,-1.644215"
- Busto-El,"42.5413711414009,-2.2342779234"
- Cabanillas,"42.0345597887263,-1.5250534584"
- Cabredo,"42.6329257750385,-2.4274061676"
- Cadreita,"42.220836864564,-1.68845286747"
- Caparroso,"42.334228866337,-1.66581624542"
- Carcar,"42.4160002713939,-1.9772464391"
- Carcastillo,"42.3617797595413,-1.4271238442"
- Cascante,"42.0082214542664,-1.6802238462"
- Caseda,"42.5011353825762,-1.3572134466"
- Castejon,"42.406333884306,-2.53598647770"
- Castillonuevo,"42.6669173647251,-1.0648543331"
- Cintruenigo,"42.0776913797798,-1.8087994786"
- Cirauqui,"42.6615519810991,-1.8981077571"
- Ciriza,"42.7915548250372,-1.8234199538"
- Cizur,"42.7608402524613,-1.7158618095"
- Corella,"42.1042956707029,-1.7922454984"
- Cortes,"41.9394621853543,-1.4396061688"
- Desojo,"42.5891303942397,-2.2676605842"
- Dicastillo,"42.5679352995479,-2.0353502050"
- Donamaria,"43.0859185663805,-1.6619840121"
- DoneztebeoSantesteban,"43.1350342978141,-1.6703066563"
- Echarri,"42.7811447581895,-1.8281576826"
- Egues,"42.817991,-1.644215"
- Elgorriaga,"43.1353255687867,-1.6912061948"
- Eneriz,"42.663077127401,-1.74387370474"
- Eratsun,"43.1090810508851,-1.8099940925"
- Ergoiena,"42.9080987264272,-2.0299650628"
- Erro,"42.969670618738,-1.41814357320"
- Eslava,"42.5707626001784,-1.4655257125"
- Esparza-de-Salazar,"42.8608733759922,-1.0898876301"
- Espronceda,"42.5949333815804,-2.2998406378"
- EstellaoLizarra,"42.66252386968,-2.025192013928"
- Esteribar,"42.9547198519587,-1.5328397241"
- Etayo,"42.6135317560156,-2.1754371515"
- Etxalar,"43.2434754188682,-1.6333844342"
- Etxarri-Aranatz,"42.932447463171,-2.07572786674"
- Etxauri,"42.7970147054231,-1.7985355974"
- Eulate,"42.7662983298123,-2.2052752734"
- Ezcabarte,"42.8772917593458,-1.6353313678"
- EzcarozoEzkaroze,"42.9015739564372,-1.0617283839"
- Ezkurra,"43.1099567524908,-1.8396207658"
- Ezprogui,"42.597071937168,-1.44356149721"
- Falces,"42.4234962711155,-1.7999301851"
- Fitero,"42.0407520517255,-1.8547520201"
- Fontellas,"42.013996169752,-1.56839256897"
- Funes,"42.2914668800767,-1.7911950425"
- Fustinana,"42.0217266765017,-1.4547643081"
- Galar,"42.7565135654131,-1.6683436266"
- Gallipienzo,"42.5038240610032,-1.4139158275"
- GalluesoGaloze,"42.7933481133777,-1.0956646215"
- Garaioa,"42.9210507331701,-1.2423085246"
- Garde,"42.7802271526987,-0.8896010431"
- Garinoain,"42.5959562300986,-1.6655310445"
- Garralda,"42.9564812866601,-1.3028337822"
- Genevilla,"42.6478938055517,-2.3945746613"
- Goizueta,"43.1948592595228,-1.8492325546"
- Goni,"42.8339203042017,-1.8879571950"
- Guesalaz,"42.7639160830115,-1.9142848549"
- GuesaoGorza,"42.817991,-1.644215"
- Guirguillano,"42.7209190329206,-1.8597625038"
- HiriberrioVillanueva-de-Aezkoa,"42.9503127504617,-1.1973264270"
- HuarteoUharte,"42.8288283458745,-1.5943938507"
- Ibargoiti,"42.6746212051705,-1.4627397445"
- Igantzi,"43.220866538448,-1.68973295815"
- Iguzquiza,"42.640815804305,-2.09246357406"
- Imotz,"42.9600910471077,-1.8028480700"
- Iraneta,"42.918795974566,-1.93476664794"
- Irurtzun,"42.9266539883868,-1.8261081424"
- IsabaoIzaba,"42.8968755542705,-0.8540435245"
- Ituren,"43.1287012270014,-1.7158964776"
- Iturmendi,"42.9107039107269,-2.1260342719"
- Iza,"42.8819789965952,-1.7701564768"
- Izagaondoa,"42.7426681201463,-1.4314670086"
